ai_index,ai_name,best_human_match_index,bert_score_f1,moverscore
0,home anonymous - my account - home anonymous drop down - login - login page,17,0.906335711479187,0.8143565030150532
1,home anonymous - my account - home anonymous drop down - register - register account,17,0.8940474987030029,0.7940827494454609
2,home anonymous - my account - home anonymous drop down - login - login page - continue - register account,17,0.8906156420707703,0.7985377942012654
3,home anonymous - my account - home anonymous drop down - login - login page - login - my account,17,0.902194082736969,0.8125303721395423
4,home anonymous - my account - home anonymous drop down - register - register account - login page - login page,17,0.8913581371307373,0.8053754488670112
5,home anonymous - my account - home anonymous drop down - register - register account - continue - account created,17,0.8902557492256165,0.7854956915953181
6,home anonymous - my account - home anonymous drop down - register - register account - continue - account created - continue - my account,17,0.8860754370689392,0.7829848515565984
7,home anonymous - my account - home anonymous drop down,24,0.8903875350952148,0.7617766842990191
8,home anonymous - search - search results anon,25,0.8808832764625549,0.7217037441369194
9,home anonymous - shopping cart - shopping cart empty,35,0.8982637524604797,0.7345556768880248
10,home anonymous - 123456789 - contact us anon,16,0.8945209383964539,0.7897482024296049
11,home anonymous - search - search results anon - i mac - product detail anon,25,0.8744837641716003,0.7368689260385347
12,home anonymous - search - search results anon - home - home anonymous,25,0.8756226301193237,0.7373817362625257
13,home anonymous - shopping cart - shopping cart empty - continue - home anonymous,25,0.8880401253700256,0.7705067506505207
14,home anonymous - 123456789 - contact us anon - submit - contact submitted anon,17,0.8887267708778381,0.792727832805226
15,home anonymous - 123456789 - contact us anon - submit - contact submitted anon - continue - home anonymous,17,0.8855469226837158,0.7889041473608893
16,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated,17,0.8977541923522949,0.8017850775304738
17,home anonymous - my account - home anonymous drop down - login - login page - login - my account - reward points - reward points,17,0.8973429203033447,0.7974214107640606
18,home anonymous - my account - home anonymous drop down - login - login page - login - my account - wish list - wishlist empty,17,0.8951330184936523,0.7982142779857606
19,home anonymous - my account - home anonymous drop down - login - login page - login - my account - logout - home anonymous,17,0.8976779580116272,0.8009936419988359
20,home anonymous - my account - home anonymous drop down - login - login page - login - my account - reward points - reward points - continue - my account,17,0.8903715014457703,0.7929939993601426
21,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - desktops - home authenticated desktop,17,0.8891567587852478,0.7934667059042156
22,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - search - search results auth,17,0.8850846886634827,0.7652681277774032
23,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - 123456789 - contact us auth,17,0.8846427202224731,0.7996022340632639
24,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - desktops - home authenticated desktop - mac (1) - category mac auth,17,0.8804677724838257,0.7761519854689813
25,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - desktops - home authenticated desktop - mac (1) - category mac auth - i mac - product detail auth,17,0.8731107115745544,0.7728044958020659
26,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - search - search results auth - i mac - product detail auth,17,0.8766754865646362,0.7612074533707317
27,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - search - search results auth - home - home authenticated,17,0.8800493478775024,0.7618138825136189
28,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - search - search results auth - i mac - product detail auth - add to cart - product detail auth cart,17,0.8703028559684753,0.7567482043666818
29,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - search - search results auth - i mac - product detail auth - add to cart - product detail auth cart - shopping cart - shopping cart auth,17,0.8653082251548767,0.7521999616928461
30,home anonymous - my account - home anonymous drop down - login - login page - login - my account - wish list - wishlist empty - continue - my account,17,0.8899007439613342,0.7941292145689625
31,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - search - search results auth - i mac - product detail auth - add to cart - product detail auth cart - shopping cart - shopping cart auth - checkout - checkout auth,17,0.8551698327064514,0.7565759014366912
32,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - search - search results auth - i mac - product detail auth - add to cart - product detail auth cart - shopping cart - shopping cart auth - continue shopping - home authenticated,17,0.8611911535263062,0.749877926766162
33,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - search - search results auth - i mac - product detail auth - add to cart - product detail auth cart - shopping cart - shopping cart auth - checkout - checkout auth - continue - checkout auth shipping,17,0.8512240648269653,0.7525595801474492
34,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - search - search results auth - i mac - product detail auth - add to cart - product detail auth cart - shopping cart - shopping cart auth - checkout - checkout auth - continue - checkout auth shipping - choose - checkout auth shipping options,17,0.8441609740257263,0.7454292779601305
35,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - search - search results auth - i mac - product detail auth - add to cart - product detail auth cart - shopping cart - shopping cart auth - checkout - checkout auth - continue - checkout auth shipping - choose - checkout auth shipping options - continue - checkout auth shippement method selected,7,0.8386132717132568,0.7571239152495441
36,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - search - search results auth - i mac - product detail auth - add to cart - product detail auth cart - shopping cart - shopping cart auth - checkout - checkout auth - continue - checkout auth shipping - choose - checkout auth shipping options - continue - checkout auth shippement method selected - choose - checkout auth payment options,7,0.8384920954704285,0.7506355838581559
37,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - search - search results auth - i mac - product detail auth - add to cart - product detail auth cart - shopping cart - shopping cart auth - checkout - checkout auth - continue - checkout auth shipping - choose - checkout auth shipping options - continue - checkout auth shippement method selected - choose - checkout auth payment options - continue - checkout auth final,17,0.8370410799980164,0.7327741503531279
38,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - search - search results auth - i mac - product detail auth - add to cart - product detail auth cart - shopping cart - shopping cart auth - checkout - checkout auth - continue - checkout auth shipping - choose - checkout auth shipping options - continue - checkout auth shippement method selected - choose - checkout auth payment options - continue - checkout auth final - confirm order - order success auth,17,0.8367441892623901,0.735328394064542
39,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - search - search results auth - i mac - product detail auth - add to cart - product detail auth cart - shopping cart - shopping cart auth - checkout - checkout auth - continue - checkout auth shipping - choose - checkout auth shipping options - continue - checkout auth shippement method selected - choose - checkout auth payment options - continue - checkout auth final - confirm order - order success auth - continue - home authenticated,17,0.8370883464813232,0.7333433215958265
40,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - 123456789 - contact us auth - submit - contact submitted auth,17,0.8781192302703857,0.7954382900320202
41,home anonymous - my account - home anonymous drop down - login - login page - login - my account - home - home authenticated - 123456789 - contact us auth - submit - contact submitted auth - continue - home authenticated,17,0.8734276294708252,0.7922114901539314
